Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
schijfB_4,-8.88178419700125E-15,0.000499999999952316,-1.28785870856518E-14,0,0,0,0.00424821866581672,1.47161295786621E-06,7.36687053539726E-21,1.27054942088145E-21,2.94251787928811E-06,-7.19978005166155E-21,1.4716129578662E-06,0,0,0,0,0,0,package://Assem2/meshes/schijfB_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/schijfB_4.STL,,schijf A-22,Origin_schijfB_4_joint,,schijfB_4_joint,fixed,1.3709,-0.35921,0.46064,1.835,0.26398,0.070466,frameboven,0,0,0,,,,,,,,,,,,
schijfB_6,1.46549439250521E-14,0.000500000000000389,2.67563748934663E-14,0,0,0,0.00424821866581627,1.47161295786605E-06,-1.1964340379967E-20,-4.2351647362715E-22,2.9425178792878E-06,5.73070728376738E-21,1.47161295786604E-06,0,0,0,0,0,0,package://Assem2/meshes/schijfB_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/schijfB_6.STL,,schijf A-26,Origin_schijfB_6_joint,,schijfB_6_joint,fixed,2.2576,0.57704,0.46064,1.6776,-0.35626,-2.0785,frameboven,0,0,0,,,,,,,,,,,,
schijfB_5,2.4980018054066E-15,0.000500000000000167,-1.66533453693773E-15,0,0,0,0.00424821866581641,1.4716129578661E-06,-8.28338665410602E-21,1.4492204331929E-21,2.9425178792879E-06,-3.17637355220363E-21,1.4716129578661E-06,0,0,0,0,0,0,package://Assem2/meshes/schijfB_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/schijfB_5.STL,,schijf A-24,Origin_schijfB_5_joint,,schijfB_5_joint,fixed,1.7171,-0.35921,0.46064,1.835,-0.26398,-0.070466,frameboven,0,0,0,,,,,,,,,,,,
schijfB_3,-9.99200722162641E-15,0.000499999999999279,-2.93098878501041E-14,0,0,0,0.00424821866581625,1.47161295786604E-06,-1.33937084784586E-20,1.27054942088145E-21,2.94251787928778E-06,6.53803556161913E-21,1.47161295786604E-06,0,0,0,0,0,0,package://Assem2/meshes/schijfB_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/schijfB_3.STL,,schijf A-20,Origin_schijfB_3_joint,,schijfB_3_joint,fixed,0.83033,0.57704,0.46064,1.6776,0.35626,2.0785,frameboven,0,0,0,,,,,,,,,,,,
Xonder_3,4.05809696957249E-09,-1.11022302462516E-15,0.0339999959419035,0,0,0,0.056342036825042,1.60143282288172E-05,6.1062443742988E-11,-9.36394923189629E-19,2.74639311273774E-05,6.10624438243032E-11,1.6014328228817E-05,0,0,0,0,0,0,package://Assem2/meshes/Xonder_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/Xonder_3.STL,,Kruisstuk 75-2,Origin_Xonder_3_joint,,Xonder_3_joint,revolute,1.3722,-1.1934,0.129,2.0056,-0.25483,0.5236,base_link,0,0,1,1000,10,0,3.14,,,,,,,,
onderaktuator_3,0.0396021359321774,0.247508283084692,-0.00857882691181078,0,0,0,1.86541059754337,0.061442854268015,-0.00914772176431719,-0.000939900476778596,0.00735160076624045,-0.00528747120190645,0.058339922897334,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_3.STL,,onder aktuator-3,Origin_onderaktuator_3_joint,,onderaktuator_3_joint,revolute,0.034,0,0.034,-1.5708,-1.409,1.5708,Xonder_3,0,0,1,1000,10,0,3.14,,,,,,,,
stangaktuator_3,1.99965038749639E-07,-1.95932982061109E-07,-0.338747803027267,0,0,0,0.278174388160801,0.00680492570319809,-7.62999207543601E-11,-1.8767196511556E-09,0.00680491891571611,2.81764835615323E-09,2.21879496027051E-05,0,0,0,0,0,0,package://Assem2/meshes/stangaktuator_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/stangaktuator_3.STL,,stang aktuator-3,Origin_stangaktuator_3_joint,Axis_stangaktuator_3_joint,stangaktuator_3_joint,prismatic,0.12534,0.76814,0.045699,1.5519,0.65262,2.9683,onderaktuator_3,0,0,1,3000,10,0,0.4,,,,,,,,
lager_3,-0.00625903536798766,-0.00779900598272498,-0.0214307160108012,0,0,0,0.217501483070319,0.00010688017697327,5.69256342166431E-06,4.74296033085289E-12,9.55271046555032E-05,1.63801228016922E-11,0.000156046837314054,0,0,0,0,0,0,package://Assem2/meshes/lager_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/lager_3.STL,,lager-3,Origin_lager_3_joint,Axis_lager_3_joint,lager_3_joint,revolute,0,0.01,0,0,0,0.67629,stangaktuator_3,0,0,1,1000,10,0,3.14,,,,,,,,
Xboven_3,4.05763955768634E-09,6.09896577685731E-11,4.05809807979551E-09,0,0,0,0.0563420368250424,1.6016916281612E-05,-1.72120546396361E-07,-9.17721836227853E-13,2.74613430745829E-05,6.10555470876526E-11,1.60143282288173E-05,0,0,0,0,0,0,package://Assem2/meshes/Xboven_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/Xboven_3.STL,,Kruisstuk 75-9,Origin_Xboven_3_joint,Axis_Xboven_3_joint,Xboven_3_joint,revolute,-0.006259,-0.007799,0.029884,1.5708,0,-2.7482,lager_3,0,0,-1,1000,10,0,3.14,,,,,,,,
U_3,-2.3036748952876E-08,0.0239652399553396,0.0339999609890491,0,0,0,0.0691682464622873,3.71147965435714E-05,2.53707498828416E-11,7.66384472414083E-11,3.75576086268656E-05,3.03218187826852E-11,2.10364251818792E-05,0,0,0,0,0,0,package://Assem2/meshes/U_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/U_3.STL,,U-3,Origin_U_3_joint,Axis_U_3_joint,U_3_joint,revolute,0.033996,0.00051099,0,-1.5708,-1.409,1.5858,Xboven_3,0,0,1,1000,10,0,3.14,,,,,,,,
schijfA_3,6.21724893790088E-15,0.000500000000001055,2.1094237467878E-14,0,0,0,0.00424821866581625,1.47161295786604E-06,-1.32878293600518E-20,3.07049443379684E-21,2.94251787928778E-06,7.94093388050907E-21,1.47161295786604E-06,0,0,0,0,0,0,package://Assem2/meshes/schijfA_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/schijfA_3.STL,,schijf A-19,Origin_schijfA_3_joint,,schijfA_3_joint,fixed,0,0.043,0.034,0,1.0472,0,U_3,0,0,0,,,,,,,,,,,,
Xonder_4,4.05809652548328E-09,1.0769163338864E-14,0.0339999959419079,0,0,0,0.0563420368250426,1.60143282288172E-05,6.10624437717872E-11,-9.14795583034644E-19,2.74639311273777E-05,6.10624437262591E-11,1.60143282288173E-05,0,0,0,0,0,0,package://Assem2/meshes/Xonder_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/Xonder_4.STL,,Kruisstuk 75-1,Origin_Xonder_4_joint,,Xonder_4_joint,revolute,1.1935,-0.86938,0.10128,1.136,-0.25483,0.5236,base_link,0,0,1,1000,10,0,3.14,,,,,,,,
onderaktuator_4,-0.0411337412926387,0.247258250437425,-0.00857883844072727,0,0,0,1.86541190786414,0.0614909110917856,0.00900450352666603,0.000789715243940566,0.00730358016572687,-0.00531197918510372,0.058339961955597,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/onderaktuator_4.STL,,onder aktuator-4,Origin_onderaktuator_4_joint,,onderaktuator_4_joint,revolute,0.034,0,0.034,1.5708,-1.409,-1.5708,Xonder_4,0,0,1,1000,10,0,3.14,,,,,,,,
stangaktuator_4,1.94963892585776E-07,-2.11818474871173E-07,-0.175762019207903,0,0,0,0.278174378676583,0.0068049452112121,-9.01910545217117E-11,-1.84620097427376E-09,0.00680493850323008,3.85162448361509E-09,2.21879178679808E-05,0,0,0,0,0,0,package://Assem2/meshes/stangaktuator_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/stangaktuator_4.STL,,stang aktuator-4,Origin_stangaktuator_4_joint,Axis_stangaktuator_4_joint,stangaktuator_4_joint,prismatic,-0.099099,0.6073,0.043249,1.5384,-1.0883,-2.9511,onderaktuator_4,0,0,1,3000,10,0,0.4,,,,,,,,
lager_4,-2.28975044480606E-09,2.43712228176207E-09,-0.001204535813145,0,0,0,0.217501483163805,0.00010688017746121,5.69256294254417E-06,-5.81917940076964E-12,9.55271049058665E-05,-2.4674925732827E-11,0.000156046837681744,0,0,0,0,0,0,package://Assem2/meshes/lager_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/lager_4.STL,,lager-4,Origin_lager_4_joint,Axis_lager_4_joint,lager_4_joint,revolute,0,0,0.14276,0,0,1.2427,stangaktuator_4,0,0,1,1000,10,0,3.14,,,,,,,,
Xboven_4,-4.05809941206314E-09,0.000109841869041449,-1.65508687755E-06,0,0,0,0.0563420368250424,1.60143282288172E-05,6.10624438205445E-11,9.27395198125052E-19,2.74639311273776E-05,-6.10624438298089E-11,1.60143282288173E-05,0,0,0,0,0,0,package://Assem2/meshes/Xboven_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem2/meshes/Xboven_4.STL,,Kruisstuk 75-10,Origin_Xboven_4_joint,Axis_Xboven_4_joint,Xboven_4_joint,revolute,0,0,0.05,1.5858,0,1.9642,lager_4,1,0,0,1000,10,0,3.14,,,,,,,,
